MPTC User ID,UDF3 Note
9997-2546,Training Year (TY) 25 In-Service Fulfilled
9999-6917,Training Year (TY) 25 In-Service Fulfilled
1897-5205,
1070-5063,Training Year (TY) 25 In-Service UnFulfilled
0376-6025,
0999-6499,
0902-0079,Training Year (TY) 25 In-Service UnFulfilled
1748-1044,
4153-1324,
4580-5653,
4420-9098,
6123-6914,Training Year (TY) 25 In-Service Fulfilled
5798-6947,Training Year (TY) 25 In-Service UnFulfilled
7731-6872,
6224-6402,
6503-2494,
9481-8428,
9742-2288,
9484-5293,
9997-2917,Training Year (TY) 25 In-Service UnFulfilled
9997-4218,
9997-6369,Training Year (TY) 25 In-Service Fulfilled
9997-6525,Training Year (TY) 25 In-Service UnFulfilled
9998-8885,Training Year (TY) 25 In-Service Fulfilled
9999-0305,
9999-4968,
9999-9224,
7003-3594,
9999-9369,
0276-2701,Training Year (TY) 25 In-Service Fulfilled
2153-3167,
9999-6752,
2821-2267,
9999-6711,
9997-5571,
4279-0260,Training Year (TY) 25 In-Service Fulfilled
6594-7627,
9997-7166,
9998-3847,
2090-0198,
5297-1942,
9999-7761,Training Year (TY) 25 In-Service Fulfilled
9999-6719,Training Year (TY) 25 In-Service UnFulfilled
9995-5339,
9997-2246,
9999-8344,
9999-2924,
1068-0376,Training Year (TY) 25 In-Service Fulfilled
6504-0955,
9999-3114,
9999-6896,
9997-3655,
9998-3651,
3329-6476,
9999-5391,
9998-0812,
9999-8042,Training Year (TY) 25 In-Service UnFulfilled
9490-5817,
9997-6889,
9999-4752,
9999-7623,
3660-2500,Training Year (TY) 25 In-Service UnFulfilled
9999-1281,Training Year (TY) 25 In-Service Fulfilled
9997-2963,Training Year (TY) 25 In-Service UnFulfilled
1609-4321,
4948-1345,
7481-9068,Training Year (TY) 25 In-Service Fulfilled
6984-7148,Training Tracker Not Assigned
0177-1637,Training Year (TY) 25 In-Service Fulfilled
3995-4427,Training Year (TY) 25 In-Service Fulfilled
3703-3186,
0246-1818,Training Year (TY) 25 In-Service Fulfilled
1012-7976,Training Year (TY) 25 In-Service Fulfilled
2102-9370,TY25 Academy Grad - Training Exempted
7087-8172,TY25 Academy Grad - Training Exempted
2028-3189,
5772-6287,
4017-0189,Training Year (TY) 25 In-Service Fulfilled
0040-1203,
4572-5452,
5485-9105,
7222-2857,
8693-3598,
5875-0078,
9998-1594,
6378-9641,
9997-6393,Training Year (TY) 25 In-Service UnFulfilled
5261-8219,Training Year (TY) 25 In-Service UnFulfilled
6837-1644,Training Year (TY) 25 In-Service UnFulfilled
8259-8182,Training Year (TY) 25 In-Service Fulfilled
9453-0013,Training Year (TY) 25 In-Service UnFulfilled
9999-3143,Training Year (TY) 25 In-Service UnFulfilled
9999-6951,Training Year (TY) 25 In-Service UnFulfilled
9999-8939,Training Year (TY) 25 In-Service Fulfilled
3279-2677,Training Year (TY) 25 In-Service UnFulfilled
8736-2050,Training Year (TY) 25 In-Service UnFulfilled
9438-2076,Training Year (TY) 25 In-Service UnFulfilled
9999-9169,Training Year (TY) 25 In-Service UnFulfilled
9997-5358,Training Year (TY) 25 In-Service Fulfilled
9997-5951,Training Year (TY) 25 In-Service Fulfilled
8586-1558,Training Year (TY) 25 In-Service Fulfilled
9997-7633,Training Tracker Not Assigned
6548-2008,Training Year (TY) 25 In-Service UnFulfilled
9997-7843,Training Year (TY) 25 In-Service Fulfilled
1075-8062,Training Year (TY) 25 In-Service UnFulfilled
3486-3145,Training Year (TY) 25 In-Service UnFulfilled
9781-6706,Training Year (TY) 25 In-Service UnFulfilled
6373-1956,
3240-5198,
0545-5040,Training Year (TY) 25 In-Service Fulfilled
0996-3373,
1610-3014,Training Year (TY) 25 In-Service UnFulfilled
3384-4190,Training Year (TY) 25 In-Service UnFulfilled
4372-4130,
6596-6442,Training Year (TY) 25 In-Service UnFulfilled
7831-0503,
8477-2282,
9483-3295,
9997-3483,Training Year (TY) 25 In-Service UnFulfilled
